artist,collection,final_grade,lowest_price,rating,release_year,styles,title,url,wantlist,wantlist_to_collection_ratio,predicted_rating
Klaatu,478,319.2531380753138,52.58,3.98,1976,"['Psychedelic Rock', 'Pop Rock']",3:47 E.S.T.,https://www.discogs.com/release/6457588-Klaatu-347-EST,514,1.0753138075313808,3.794000000000003
The Beatles,868,256.781198156682,13.48,4.27,1980,"['Soundtrack', 'Pop Rock', 'Psychedelic Rock']",Magical Mystery Tour,https://www.discogs.com/release/1824265-The-Beatles-Magical-Mystery-Tour,540,0.6221198156682027,4.3045000000000035
The Beatles,561,313.05163992869876,58.33,4.36,1977,"['Soft Rock', 'Pop Rock']",Love Songs,https://www.discogs.com/release/1750499-The-Beatles-Love-Songs,128,0.2281639928698752,4.349600000000007
INXS,928,234.33068965517242,8.09,3.78,1982,"['Pop Rock', 'New Wave']",Shabooh Shoobah,https://www.discogs.com/release/1747544-INXS-Shabooh-Shoobah,104,0.11206896551724138,3.777699999999994
INXS,202,207.93,8.09,3.71,1988,"['Pop Rock', 'Synth-pop']",New Sensation,https://www.discogs.com/release/473011-INXS-New-Sensation,101,0.5,3.6524999999999967
The Kinks,540,317.9322222222222,25.67,4.51,1970,"['Beat', 'Rhythm & Blues', 'Pop Rock']",The Kinks,https://www.discogs.com/release/2792722-The-Kinks-The-Kinks,228,0.4222222222222222,4.361900000000003
The Kinks,1845,284.07151761517616,4.55,4.44,1972,"['Rock & Roll', 'Pop Rock']",The Kink Kronikles,https://www.discogs.com/release/4893112-The-Kinks-The-Kink-Kronikles,325,0.17615176151761516,4.381400000000001
The Kinks,1115,238.79152466367714,3.37,3.75,1980,['Pop Rock'],One For The Road,https://www.discogs.com/release/1813291-The-Kinks-One-For-The-Road,47,0.042152466367713005,3.7518000000000007
The Kinks,27,226.88814814814816,6.74,3.0,1984,"['Classic Rock', 'Pop Rock', 'Rock & Roll']",Word Of Mouth,https://www.discogs.com/release/15094409-The-Kinks-Word-Of-Mouth,22,0.8148148148148148,3.184699999999999
The Kinks,2425,280.9083505154639,4.55,3.87,1972,"['Pop Rock', 'Classic Rock']",Everybody's In Showbiz,https://www.discogs.com/release/1131389-The-Kinks-Everybodys-In-Showbiz,213,0.08783505154639175,3.8386000000000013
The Kinks,317,210.89182965299685,5.39,3.56,1986,['Pop Rock'],Think Visual,https://www.discogs.com/release/3393385-The-Kinks-Think-Visual,40,0.12618296529968454,3.5843000000000007
The Kinks,1059,242.80100094428707,2.7,3.61,1979,"['Pop Rock', 'Classic Rock']",Low Budget,https://www.discogs.com/release/2274131-The-Kinks-Low-Budget,70,0.06610009442870633,3.6310000000000056
XTC,322,220.36987577639752,25.67,3.97,1989,"['New Wave', 'Pop Rock']",Oranges & Lemons,https://www.discogs.com/release/1592933-XTC-Oranges-Lemons,123,0.38198757763975155,3.8935000000000044
Prefab Sprout,738,221.05558265582656,5.39,4.35,1985,"['Pop Rock', 'Indie Rock']",Two Wheels Good,https://www.discogs.com/release/1419625-Prefab-Sprout-Two-Wheels-Good,241,0.3265582655826558,4.326700000000004
Michael Penn,688,212.32441860465116,17.33,4.33,1989,"['Pop Rock', 'Indie Rock']",March,https://www.discogs.com/release/2952214-Michael-Penn-March,184,0.26744186046511625,4.326300000000001
Queen,1424,243.57202247191012,7.41,3.57,1980,['Pop Rock'],Flash Gordon (Original Soundtrack Music),https://www.discogs.com/release/635912-Queen-Flash-Gordon-Original-Soundtrack-Music,268,0.18820224719101122,3.6572000000000013
Queen,411,226.43824817518248,26.96,4.24,1989,['Pop Rock'],The Miracle,https://www.discogs.com/release/4411507-Queen-The-Miracle,309,0.7518248175182481,4.246000000000004
